State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
Kentucky,,4/9/2020,"The governor announced a new Executive order that will expand workers’ compensation to allow temporary total disability payments to more workers. The order includes people who work in childcare, grocery stores, the postal service, domestic violence shelters, national guard, corrections, social workers, rape crisis centers and others.",government,new public services,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/1
Kentucky,Louisville,4/10/2020,Mayor Fischer bans drive in churches for Easter Sunday,government,stay at home,,PR48,https://www.livescience.com/kentucky-coronavirus.html
Kentucky,,4/11/2020,The Governor announced that all individuals who attend an in-person worship service or mass gathering of any kind Easter Weekend will face quarantine orders.,government,movement restriction,,PR48,https://www.nga.org/coronavirus/
Kentucky,,4/12/2020,"Gov. Andy Beshear said Kentucky has a new partnership with Kroger to test up to 20,000 people statewide over about the next five weeks.",government,new public services,,TJ73,https://www.wkyufm.org/post/live-blog-how-coronavirus-impacting-life-kentucky#stream/0
Louisiana,,3/2/2020,"March 2, 2020—Gov. John Bel Edwards announced the creation of a COVID-19 Task Force.",government,other,,BR30,https://www.nga.org/coronavirus/#states
Louisiana,New Orleans,3/9/2020,First case confirmed ,other,other,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans ,3/10/2020,New Orleans archdiocese stop using communion chalice,other,other,religion,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,Baton Rouge,3/10/2020,Baton Rouge archdiocese stop using communion chalice,other,other,religion,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/10/2020,Jefferson Parish schools cancel field trips and parent teacher conferences,other,school closing,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/10/2020,Mayor cancels events for St. Patricks Day and Super Sunday,government,events cancelled,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/11/2020,"Loyola University moves to online teaching, many other universities follow suit",other,school closing,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,,3/11/2020,"March 11, 2020—Governor Edwards declared a public health emergency to allow state agencies to thoroughly prepare for any eventuality related to public health needs and deploy additional resources to assist local authorities. The declaration also addresses efforts to prevent price gouging and limits state employee travel.",government,other,public health emergency,BR30,https://www.nga.org/coronavirus/#states
Louisiana,Baton Rouge,3/12/2020,LSU cancels in-person classes for the rest of the spring semester and announces a transition to online courses following spring break.,other,school closing,,BR30,https://www.lsureveille.com/coronavirus/timeline-tracking-the-coronavirus-spread-to-lsu-united-states/article_4062c942-67b7-11ea-8e95-572aebc8165d.html
Louisiana,Grambling,3/12/2020,"On March 12, Grambling State University announced travel restrictions to prevent the coronavirus from spreading.",other,movement restriction,,BR30,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana
Louisiana ,,3/12/2020,State health department orders healthcare facilities to restrict visitors,government,public service reduction,last for 30 days,DY26,http://ldh.la.gov/index.cfm/newsroom/detail/5475
Louisiana ,,3/12/2020,LSU President Tom Galligan sent an email to the entire faculty and student body stating that classes have been canceled but will resume online.,other,school closing,,DY26,https://www.tigertv.tv/news/lsu-president-tom-galligan-addresses-cancelling-class-amid-covid-19/article_386f2e16-64aa-11ea-8410-ebfe6916ca42.html
Louisiana,,3/13/2020,Presidential Primary is postponed until June,government,events cancelled,political event,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
Louisiana,New Orleans,3/13/2020,"Lambeth house (senior living facility) has 8 confirmed cases, onsite testing begins for residents",other,new public services,,MP37,https://www.wwltv.com/article/news/health/coronavirus/coronavirus-timeline/289-9204d79c-2ac6-4b27-971b-3f32be49d134
